Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
242374,20,182.88,77.1,68,85,1900000,1,3,40,66,60,56,60,69,50,36,40,67,80,85,74,64,55,64,55,54,71,61,40,20,68,50,58,60,45,20,16,8,6,14,14,12
223686,23,185.42,79.8,68,75,925000,1,1,9,9,18,32,10,16,12,14,27,25,52,54,45,67,54,21,75,31,67,11,19,23,20,35,23,52,10,11,9,71,62,60,66,69
155334,33,185.42,76.2,68,68,525000,1,2,43,33,72,56,46,46,55,37,46,62,66,65,67,56,66,53,64,70,75,31,73,63,47,47,32,50,66,68,66,11,8,8,15,14
187077,29,170.18,74.8,68,68,900000,1,3,65,66,61,64,62,65,62,68,58,68,78,79,85,64,86,66,51,80,59,66,68,32,67,63,65,66,23,45,39,15,7,15,14,7
177605,32,152.4,72.1,68,68,775000,1,2,56,50,50,72,43,59,64,59,69,66,57,50,62,65,69,58,63,79,67,62,73,67,60,66,57,63,71,68,64,12,8,13,16,8
239045,24,175.26,68,68,73,1200000,1,3,69,56,36,71,40,73,58,50,60,70,76,71,76,62,64,60,45,60,42,64,37,32,55,58,52,51,36,31,36,15,6,11,14,14
225733,29,152.4,73.9,68,68,900000,1,4,58,70,56,67,65,71,33,28,40,70,72,72,64,65,69,69,64,66,57,63,35,14,70,60,64,62,45,18,20,8,8,12,14,11
220357,26,185.42,84.8,68,72,975000,1,2,68,55,54,70,52,61,53,49,71,66,44,50,63,60,64,72,67,78,76,61,65,64,53,65,57,50,66,67,62,15,15,10,14,11
203461,26,154.94,74.8,68,73,1000000,1,2,60,48,61,73,66,60,51,39,70,69,74,74,80,66,74,70,81,83,62,65,60,65,61,65,62,67,51,70,64,12,14,9,14,8
232132,22,190.5,66.2,68,72,975000,1,2,46,43,61,67,39,60,48,49,66,67,70,71,29,58,33,59,56,69,79,45,69,67,50,62,47,64,62,72,63,9,12,13,14,14
