Play_Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5
212419,25,195.58,77.1,71,73,2400000,1,3
190658,29,182.88,74.8,71,71,1900000,1,3
221378,30,182.88,81.2,71,71,1800000,1,2
211394,26,187.96,79.8,71,72,2800000,1,3
204226,28,152.4,78.9,71,71,2400000,1,3
137410,35,185.42,77.1,71,71,550000,2,2
182209,29,193.04,79.8,71,71,1900000,1,2
158657,33,198.12,92.1,71,71,1400000,1,1
207553,27,182.88,76.2,71,71,2400000,1,3
204737,27,165.1,60.8,71,71,2500000,1,3
242112,23,152.4,72.1,71,76,3200000,1,3
241856,20,152.4,74.8,71,81,3700000,1,3
166080,32,152.4,72.1,71,71,2100000,1,3
231360,22,154.94,68.9,71,78,2800000,1,3
230335,31,175.26,68.9,71,71,1700000,1,2
213439,26,175.26,73,71,73,2800000,1,3
199103,31,195.58,83.9,71,71,1400000,1,1
198079,27,175.26,71.2,71,71,2400000,1,3
188094,30,187.96,83,71,72,1800000,1,1
170941,33,154.94,73,71,71,1300000,1,2
224189,25,187.96,81.2,71,74,2500000,1,3
207805,27,185.42,69.9,71,73,2400000,1,2
220087,26,152.4,74.8,71,73,2400000,1,2
237238,22,193.04,88,71,81,3800000,1,3
166838,31,154.94,72.1,71,71,2100000,1,4
206006,27,172.72,63,71,71,2500000,1,3
193461,28,170.18,68,71,71,2400000,1,4
188597,27,185.42,79.8,71,74,2100000,1,1
224949,20,175.26,67.1,71,86,5000000,1,3
159157,37,172.72,64,71,71,750000,1,3
204213,32,175.26,73.9,71,71,1300000,1,3
208052,27,154.94,74.8,71,72,2300000,1,3
197300,33,175.26,74.8,71,71,,1,3
221875,26,152.4,62.1,71,74,2900000,1,3
211891,27,152.4,81.2,71,72,2800000,1,3
185010,31,154.94,78,71,71,1800000,2,2
223922,25,187.96,83.9,71,73,2800000,1,3
211378,26,187.96,69.9,71,75,3100000,1,3
193201,27,172.72,73,71,71,2000000,1,3
124337,35,185.42,81.2,71,71,725000,1,2
214193,26,182.88,72.1,71,74,2400000,1,2
200113,28,175.26,72.1,71,71,2500000,1,3
225456,25,152.4,78,71,73,3000000,1,3
201136,27,154.94,76.2,71,72,2300000,1,3
230319,35,187.96,84.8,71,71,950000,1,1
203439,27,175.26,68,71,71,2500000,1,3
